"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","id","bioid","name","gender","type","party"
"repwalterjones","26778110","RepWalterJones","Rep. Walter Jones","Congressman Walter B. Jones represents the Third Congressional District of North Carolina #NC03",12372,1382,156,"Thu Mar 26 15:50:58 +0000 2009","Eastern North Carolina","00612","J000255","Walter B. Jones","M","Congress","Republican"
"repwebster","281540744","RepWebster","Daniel Webster","A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.",6137,2275,309,"Wed Apr 13 13:47:05 +0000 2011","Central Florida","02002","W000806","Daniel Webster","M","Congress","Republican"
"repwesterman","2852998461","RepWesterman","Rep. Bruce Westerman","Congressman representing the Fourth District of Arkansas. Husband. Father of four. Hot Springs native. @UArkansas, @Yale alum.",1353,528,419,"Fri Oct 31 03:57:48 +0000 2014","Hot Springs, Arkansas","02224","W000821","Bruce Westerman","M","Congress","Republican"
"repwestmoreland","137407124","RepWestmoreland","Lynn Westmoreland","U.S. Representative proudly serving Georgia's Third Congressional District.",8302,2617,548,"Mon Apr 26 17:19:38 +0000 2010","","01779","W000796","Lynn A. Westmoreland","M","Congress","Republican"
"repwilson","234014087","RepWilson","Frederica Wilson","Congresswoman from the 24th District of Florida; former elementary school principal and school board member; grandmother of four beautiful grandkids",9603,5025,2812,"Tue Jan 04 17:08:09 +0000 2011","Washington DC","02004","W000808","Frederica S. Wilson","F","Congress","Democrat"
"repzoelofgren","267938462","RepZoeLofgren","Rep. Zoe Lofgren","Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",6457,1166,66,"Thu Mar 17 21:06:21 +0000 2011","","00701","L000397","Zoe Lofgren","F","Congress","Democrat"
"ricksantorum","58379000","RickSantorum","Rick Santorum","Husband to @KarenSantorum, dad of 7, fighting for hard working Americans.",231996,4816,1260,"Mon Jul 20 03:36:46 +0000 2009","Pittsburgh, Dallas & Virginia",NA,NA,NA,NA,"Primary Candidate","Republican"
"robert_aderholt","76452765","Robert_Aderholt","Rep. Robert Aderholt","Proudly serving the 4th Congressional District of Alabama in Congress",8549,1021,94,"Tue Sep 22 21:16:37 +0000 2009","Haleyville, AL","01460","A000055","Robert B. Aderholt","M","Congress","Republican"
"robwittman","15356407","RobWittman","Rep. Rob Wittman","I represent the First Congressional District of Virginia and serve on
the House Armed Services and Natural Resources Committees. I appreciate your thoughts!",15172,4359,7103,"Tue Jul 08 18:25:49 +0000 2008","Montross, VA","01886","W000804","Robert J. Wittman","M","Congress","Republican"
"rodneydavis","993153006","RodneyDavis","US Rep Rodney Davis","Proudly representing the 13th Congressional District of Illinois.",4974,2240,530,"Thu Dec 06 14:20:04 +0000 2012","Taylorville, IL","02126","D000619","Rodney Davis","M","Congress","Republican"
"ronwyden","250188760","RonWyden","Ron Wyden","U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for breaking news and updates from my staff.",36072,2308,300,"Thu Feb 10 16:08:15 +0000 2011","Oregon & Washington, DC","01247","W000779","Ron Wyden","M","Congress","Democrat"
