chamber,party,type,name,gender,bioid,screen_name,phi,merge
sen,Democrat,Congress,Mazie K. Hirono,F,H001042,maziehirono,-1.49344,maziehirono
sen,Democrat,Congress,Maria Cantwell,F,C000127,SenatorCantwell,-1.40335,senatorcantwell
sen,Democrat,Congress,Tammy Baldwin,F,B001230,SenatorBaldwin,-1.31376,senatorbaldwin
sen,Democrat,Congress,Catherine Cortez Masto,F,C001113,SenCortezMasto,-1.18541,sencortezmasto
sen,Democrat,Congress,Debbie Stabenow,F,S000770,SenStabenow,-1.14024,senstabenow
sen,Republican,Congress,Susan M. Collins,F,C001035,SenatorCollins,-1.10762,senatorcollins
sen,Democrat,Congress,Jeanne Shaheen,F,S001181,SenatorShaheen,-0.9298,senatorshaheen
sen,Democrat,Congress,Claire McCaskill,F,M001170,McCaskillOffice,-0.74428,mccaskilloffice
sen,Republican,Congress,Lisa Murkowski,F,M001153,lisamurkowski,-0.70206,lisamurkowski
sen,Democrat,Congress,Heidi Heitkamp,F,H001069,SenatorHeitkamp,-0.23508,senatorheitkamp
sen,Republican,Congress,Shelley Moore Capito,F,C001047,SenCapito,-0.02416,sencapito
sen,Republican,Congress,Deb Fischer,F,F000463,SenatorFischer,0.33818,senatorfischer
sen,Republican,Congress,Joni Ernst,F,E000295,SenJoniErnst,0.85116,senjoniernst
sen,Democrat,Congress,Cory A. Booker,M,B001288,SenBooker,-1.74254,senbooker
sen,Democrat,Congress,Richard Blumenthal,M,B001277,SenBlumenthal,-1.53881,senblumenthal
sen,Democrat,Congress,Ron Wyden,M,W000779,RonWyden,-1.51979,ronwyden
sen,Democrat,Congress,Jeff Merkley,M,M001176,SenJeffMerkley,-1.51199,senjeffmerkley
sen,Democrat,Other Politicians,Charles E. Schumer,M,S000148,SenSchumer,-1.49213,senschumer
sen,Democrat,Congress,Richard J. Durbin,M,D000563,SenatorDurbin,-1.48286,senatordurbin
sen,Democrat,Congress,Sheldon Whitehouse,M,W000802,SenWhitehouse,-1.46668,senwhitehouse
sen,Democrat,Congress,Mark R. Warner,M,W000805,MarkWarner,-1.42768,markwarner
sen,Democrat,Congress,Jon Tester,M,T000464,SenatorTester,-1.40808,senatortester
sen,Independent,Congress,Bernard Sanders,M,S000033,SenSanders,-1.38537,sensanders
sen,Democrat,Congress,Sherrod Brown,M,B000944,SenSherrodBrown,-1.38045,sensherrodbrown
sen,Democrat,Congress,Edward J. Markey,M,M000133,SenMarkey,-1.37359,senmarkey
sen,Democrat,Congress,Bill Nelson,M,N000032,SenBillNelson,-1.34885,senbillnelson
sen,Democrat,Congress,Martin Heinrich,M,H001046,MartinHeinrich,-1.34456,martinheinrich
sen,Democrat,Congress,Chris Van Hollen,M,V000128,ChrisVanHollen,-1.34172,chrisvanhollen
sen,Democrat,Congress,"Robert P. Casey, Jr.",M,C001070,SenBobCasey,-1.32963,senbobcasey
sen,Democrat,Congress,Doug Jones,M,J000300,SenDougJones,-1.32662,sendougjones
sen,Democrat,Congress,Gary C. Peters,M,P000595,SenGaryPeters,-1.30314,sengarypeters
sen,Republican,Congress,Jeff Flake,M,F000444,JeffFlake,-1.28225,jeffflake
sen,Democrat,Congress,Benjamin L. Cardin,M,C000141,SenatorCardin,-1.26362,senatorcardin
sen,Democrat,Congress,Michael F. Bennet,M,B001267,SenBennetCO,-1.26047,senbennetco
sen,Independent,Congress,"Angus S. King, Jr.",M,K000383,SenAngusKing,-1.25332,senangusking
sen,Democrat,Congress,Christopher Murphy,M,M001169,SenMurphyOffice,-1.23082,senmurphyoffice
sen,Democrat,Congress,Tom Udall,M,U000039,SenatorTomUdall,-1.21298,senatortomudall
sen,Democrat,Congress,Patrick J. Leahy,M,L000174,SenatorLeahy,-1.17098,senatorleahy
sen,Democrat,Congress,Brian Schatz,M,S001194,SenBrianSchatz,-0.99684,senbrianschatz
sen,Democrat,Congress,Robert Menendez,M,M000639,SenatorMenendez,-0.98112,senatormenendez
sen,Democrat,Congress,Jack Reed,M,R000122,SenJackReed,-0.87322,senjackreed
sen,Republican,Congress,John McCain,M,M000303,SenJohnMcCain,-0.84045,senjohnmccain
sen,Democrat,Congress,Thomas R. Carper,M,C000174,SenatorCarper,-0.80928,senatorcarper
sen,Republican,Congress,Bob Corker,M,C001071,SenBobCorker,-0.80505,senbobcorker
sen,Democrat,Congress,"Joe Manchin, III",M,M001183,Sen_JoeManchin,-0.62591,sen_joemanchin
sen,Republican,Congress,Cory Gardner,M,G000562,SenCoryGardner,-0.57221,sencorygardner
sen,Republican,Congress,Steve Daines,M,D000618,SteveDaines,-0.46989,stevedaines
sen,Democrat,Congress,Joe Donnelly,M,D000607,SenDonnelly,-0.39429,sendonnelly
sen,Democrat,Congress,Christopher A. Coons,M,C001088,SenCoonsOffice,-0.38634,sencoonsoffice
sen,Republican,Congress,Dan Sullivan,M,S001198,SenDanSullivan,-0.07605,sendansullivan
sen,Republican,Congress,Richard Burr,M,B001135,SenatorBurr,-0.06249,senatorburr
sen,Republican,Congress,Dean Heller,M,H001041,SenDeanHeller,-0.04762,sendeanheller
sen,Republican,Congress,Patrick J. Toomey,M,T000461,SenToomey,-0.02314,sentoomey
sen,Republican,Congress,David Perdue,M,P000612,sendavidperdue,0.0462,sendavidperdue
sen,Republican,Congress,Jerry Moran,M,M000934,JerryMoran,0.09311,jerrymoran
sen,Republican,Congress,Thom Tillis,M,T000476,SenThomTillis,0.10088,senthomtillis
sen,Republican,Congress,Rob Portman,M,P000449,senrobportman,0.10326,senrobportman
sen,Republican,Congress,Richard C. Shelby,M,S000320,SenShelby,0.18467,senshelby
sen,Republican,Congress,Ben Sasse,M,S001197,SenSasse,0.19292,sensasse
sen,Republican,Congress,John Hoeven,M,H001061,SenJohnHoeven,0.2191,senjohnhoeven
sen,Republican,Congress,James Lankford,M,L000575,SenatorLankford,0.21964,senatorlankford
sen,Republican,Congress,Mitch McConnell,M,M000355,McConnellPress,0.25742,mcconnellpress
sen,Republican,Congress,Lamar Alexander,M,A000360,SenAlexander,0.26554,senalexander
sen,Republican,Congress,Todd Young,M,Y000064,SenToddYoung,0.28696,sentoddyoung
sen,Republican,Congress,John Kennedy,M,K000393,SenJohnKennedy,0.30717,senjohnkennedy
sen,Republican,Congress,John Barrasso,M,B001261,SenJohnBarrasso,0.36068,senjohnbarrasso
sen,Republican,Congress,Mike Crapo,M,C000880,MikeCrapo,0.36874,mikecrapo
sen,Republican,Congress,Michael B. Enzi,M,E000285,SenatorEnzi,0.37355,senatorenzi
sen,Republican,Congress,James E. Risch,M,R000584,SenatorRisch,0.39354,senatorrisch
sen,Republican,Congress,Johnny Isakson,M,I000055,SenatorIsakson,0.41176,senatorisakson
sen,Republican,Congress,Mike Rounds,M,R000605,SenatorRounds,0.44793,senatorrounds
sen,Republican,Congress,Roger F. Wicker,M,W000437,SenatorWicker,0.45146,senatorwicker
sen,Republican,Congress,Pat Roberts,M,R000307,SenPatRoberts,0.47334,senpatroberts
sen,Republican,Congress,Roy Blunt,M,B000575,RoyBlunt,0.49625,royblunt
sen,Republican,Congress,Chuck Grassley,M,G000386,ChuckGrassley,0.52102,chuckgrassley
sen,Republican,Congress,John Boozman,M,B001236,JohnBoozman,0.53819,johnboozman
sen,Republican,Congress,Orrin G. Hatch,M,H000338,senorrinhatch,0.54667,senorrinhatch
sen,Republican,Congress,Ron Johnson,M,J000293,SenRonJohnson,0.58279,senronjohnson
sen,Republican,Congress,Lindsey Graham,M,G000359,GrahamBlog,0.7325,grahamblog
sen,Republican,Congress,John Thune,M,T000250,SenJohnThune,0.75306,senjohnthune
sen,Republican,Congress,James M. Inhofe,M,I000024,InhofePress,0.81133,inhofepress
sen,Republican,Congress,Marco Rubio,M,R000595,SenRubioPress,0.87678,senrubiopress
sen,Republican,Congress,Tom Cotton,M,C001095,SenTomCotton,0.88311,sentomcotton
sen,Republican,Congress,Tim Scott,M,S001184,SenatorTimScott,0.95536,senatortimscott
sen,Republican,Congress,John Cornyn,M,C001056,JohnCornyn,1.04253,johncornyn
sen,Republican,Congress,Mike Lee,M,L000577,SenMikeLee,1.37357,senmikelee
sen,Republican,Congress,Ted Cruz,M,C001098,SenTedCruz,1.41863,sentedcruz
