"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"reptomreed","252819323","RepTomReed","Tom Reed","Tom Reed represents New York's 23rd Congressional District",15272,2733,601,"Wed Feb 16 00:03:43 +0000 2011","","R000585","01982","Tom Reed","M","Congress","Republican","RepTomReed","CongressmanTomReed","rep"
"reptomrice","1058345042","RepTomRice","Congressman Tom Rice","Former CPA and tax lawyer. Proudly representing South Carolina's 7th Congressional District. Find me on FB at https://t.co/1YXogZ4l3N.",14847,1310,407,"Thu Jan 03 17:35:05 +0000 2013","","R000597","02160","Tom Rice","M","Congress","Republican","reptomrice","RepTomRice","rep"
"reptomsuozzi","816705409486618624","RepTomSuozzi","Tom Suozzi","Representing New York's 3rd Congressional District including parts of Queens, Nassau and Suffolk counties. https://t.co/aWr41ZGlpq",5453,573,92,"Wed Jan 04 17:58:38 +0000 2017","Glen Cove, NY","S001201",NA,"Thomas R. Suozzi","M","Congress","Democrat","RepTomSuozzi",NA,"rep"
"reptrentkelly","3317799825","RepTrentKelly","Trent Kelly","Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives",8661,1038,2746,"Wed Jun 10 19:56:03 +0000 2015","","K000388","02294","Trent Kelly","M","Congress","Republican","reptrentkelly",NA,"rep"
"reptrey","811986281177772032","RepTrey","Trey Hollingsworth","Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.",6863,345,546,"Thu Dec 22 17:26:30 +0000 2016","Indiana's 9th District","H001074",NA,"Trey Hollingsworth","M","Congress","Republican","reptrey",NA,"rep"
"repvaldemings","798973032362606600","RepValDemings","Rep. Val Demings","U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.",9167,2509,665,"Wed Nov 16 19:36:29 +0000 2016","Washington, DC I Orlando, FL","D000627",NA,"Val Butler Demings","F","Congress","Democrat","RepresentativeValDemings",NA,"rep"
"repveasey","1074129612","RepVeasey","Rep. Marc Veasey","#TX33 in the DFW Metroplex. @HASCDemocrats | Co-Chair @BlueCollarDems | Founded Voting Rights Caucus 🗳 Fighting for North Texans. Apart of #CowboysNation",18470,3090,2877,"Wed Jan 09 15:49:27 +0000 2013","Dallas-Fort Worth, Texas","V000131","02166","Marc A. Veasey","M","Congress","Democrat","CongressmanMarcVeasey","marcveasey","rep"
"repvisclosky","193872188","RepVisclosky","Rep. Pete Visclosky","Tweets from the Office of Congressman Pete Visclosky, proudly representing the people of Indiana's First Congressional District. Policy: http://t.co/Wi81U7L5zE",12251,1840,1065,"Wed Sep 22 21:24:46 +0000 2010","Northwest, IN - Washington, DC","V000108","01188","Peter J. Visclosky","M","Congress","Democrat","repvisclosky","PeteVisclosky1","rep"
"repwalberg","237862972","RepWalberg","Rep Tim Walberg","Proudly serving the Michigan 7th District, tweet at me or join the discussion on Facebook http://t.co/W4dgfpnMav",15102,4174,1230,"Thu Jan 13 20:26:26 +0000 2011","MI 7th Congressional District","W000798","01855","Tim Walberg","M","Congress","Republican","RepWalberg","RepWalberg","rep"
"repwalorski","1065995022","RepWalorski","Jackie Walorski","Representing Indiana's Second Congressional District",15613,4319,697,"Sun Jan 06 15:41:40 +0000 2013","","W000813","02128","Jackie Walorski","F","Congress","Republican","RepJackieWalorski","repwalorski","rep"
"repwalterjones","26778110","RepWalterJones","Rep. Walter Jones","Proudly representing the people of Eastern North Carolina. #NC03",23440,2445,822,"Thu Mar 26 15:50:58 +0000 2009","Eastern North Carolina","J000255","00612","Walter B. Jones","M","Congress","Republican","15083070102","RepWalterJones","rep"
"repwebster","281540744","RepWebster","Daniel Webster","A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.",22053,3230,286,"Wed Apr 13 13:47:05 +0000 2011","Central Florida","W000806","02002","Daniel Webster","M","Congress","Republican","RepWebster","repdanwebster","rep"
"repwesterman","2852998461","RepWesterman","Rep. Bruce Westerman","Representing the 4th District of Arkansas. Chair − @NatResources SC on Oversight & Investigations. Husband. Father of 4. Hot Springs native. Engineer. Forester.",8455,4357,195,"Fri Oct 31 03:57:48 +0000 2014","Hot Springs, Arkansas","W000821","02224","Bruce Westerman","M","Congress","Republican","RepWesterman",NA,"rep"
"repwilson","234014087","RepWilson","Rep Frederica Wilson","Former educator & state legislator; founder & chair of FL Ports Caucus; founder of 5000 Role Models Project; #WHEREARETHEGIRLS?",64113,11416,3242,"Tue Jan 04 17:08:09 +0000 2011","Washington DC","W000808","02004","Frederica S. Wilson","F","Congress","Democrat","RepWilson","repfredericawilson","rep"
"repyvetteclarke","240812994","RepYvetteClarke","Yvette D. Clarke","Representing New York’s 9th Congressional District. Brooklyn bred.",44219,11604,3814,"Thu Jan 20 20:14:21 +0000 2011","Brooklyn, NY","C001067","01864","Yvette D. Clarke","F","Congress","Democrat","repyvettedclarke","repyvetteclarke","rep"
"repzoelofgren","267938462","RepZoeLofgren","Rep. Zoe Lofgren","Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",34791,2157,106,"Thu Mar 17 21:06:21 +0000 2011","","L000397","00701","Zoe Lofgren","F","Congress","Democrat","zoelofgren","RepZoeLofgren","rep"
"robert_aderholt","76452765","Robert_Aderholt","Rep. Robert Aderholt","Proudly serving the 4th Congressional District of Alabama in Congress",21736,1489,345,"Tue Sep 22 21:16:37 +0000 2009","Haleyville, AL","A000055","01460","Robert B. Aderholt","M","Congress","Republican","RobertAderholt","RobertAderholt","rep"
"robwittman","15356407","RobWittman","Rep. Rob Wittman","proud husband, father, grandfather; representing VA's 1st District; Seapower and Projection Forces Subcommittee Chair; advocate of sportsman-led conservation",25586,5143,6789,"Tue Jul 08 18:25:49 +0000 2008","Montross, VA","W000804","01886","Robert J. Wittman","M","Congress","Republican","RepRobWittman","RobWittman","rep"
"rodneydavis","993153006","RodneyDavis","US Rep Rodney Davis","Proudly representing the 13th Congressional District of Illinois.",17643,5085,564,"Thu Dec 06 14:20:04 +0000 2012","Taylorville, IL","D000619","02126","Rodney Davis","M","Congress","Republican","RepRodneyDavis","RepRodneyDavis","rep"
